hotstar_id,title,description,genre,year,age_rating,running_time,seasons,episodes,type
1000232077,Ram Gopal Varma ki Aag,"Dacoit Babban Singh is on the loose in Kaliganj. Inspector Narsimha hires two petty goons, Heero and Raj to nab him. Will the duo succeed in their plan?",Action,2007,U/A 13+,152,,,movie
1000164652,Niyogam,"A mediator between the deity and the devotees, Velichappad gets caught in the crossfire of beliefs and disbeliefs. Is there a way out for him?",Drama,1997,U/A 13+,101,,,movie
1000105823,Injakkadan Mathai & Sons,"Injakkadan Mathai and his sons, Roy and Thankachan, run a textile shop. Their rival is Kuriachan who decides to kidnap Injakkadan.",Action,1993,U/A 7+,122,,,movie
1000163530,Viyarppinte Vila,An impoverished landlord lives in past glory and refuses to let his children take up jobs until his younger son decides to revolt.,Drama,1962,U,149,,,movie
1820041764,Ek Mulaqat,"Two strangers, Avi and Nikita meet at a party and a random conversation leads to an interesting evening.",Romance,2019,U,7,,,movie
1260014304,The Favourite,"An acerbic tale of royal intrigue, passion, envy and betrayal in the court of Queen Anne in early 18th century England.",Historical,2018,A,119,,,movie
1000210911,Rajdanda,"Kripa Sindhu and Sita undergo torture at the hands of Sita's stepmother. On appealing for justice, they are humiliated and banished from their own home.",Drama,1999,U,127,,,movie
1260061995,Vengamamba,"Vengamamba's life becomes hell when her husband dies. An ardent devotee of Lord Venkateswara, will he help her through difficult times?",Drama,2009,U/A 7+,124,,,movie
1000035942,Moodar Koodam,"Four wrongly arrested suspects plan to carry out a theft for real. Soon their carefully laid-out plan fails, and things get messy.",Comedy,2013,U/A 7+,142,,,movie
1000070201,Kalasala,"Shobhana belongs to an upper middle-class family, who has to spend time in a government college. But things change when she falls in love with Muthu.",Romance,2009,U/A 13+,133,,,movie
1260106199,Aau Gote Love Story,"Shreya and Omm fall head over heels in love with each other. Problems arise when Shreya’s mother opposes the relationship, but the duo dares to battle all odds.",Drama,2021,U/A 13+,115,,,movie
1000060176,Veer Madakari,"When an honest police officer Madakari is killed by Babjee and Munna, conman Sathyaraju, Madakari's lookalike, takes on his identity and seeks revenge.",Action,2009,U/A 16+,167,,,movie
1000105097,Kshamichu Ennoru Vakku,"Public prosecutor Ravindranath has to win his case, irrespective of whether the person is guilty or not. He plans to do the same with convict Sridevi.",Drama,1986,U/A 13+,112,,,movie
1000082641,Ghar,"Vikas and Aarti are happily married. Late one night, Vikas is assaulted and Aarti is gang-raped. Can they make their marriage work in the wake of the tragedy?",Drama,1978,U/A 16+,117,,,movie
1000061021,Porki,"Money-crazy Dattu falls for Anjali, who loves him despite his infamy. And though he keeps underworld dons in check, curiously, a police officer wants him dead.",Romance,2010,U/A 16+,146,,,movie
1260023080,Descendants 3,"In this highly anticipated trequel, The VKs return to the Isle of the Lost to recruit a new batch of villainous offsprings to join them at Auradon Prep.",Teen,2019,U,106,,,movie
1836049787,Piddi,"Sunny is about to propose to Aditi and make the evening a special one, that is until the narrator rudely interrupts her story.",Comedy,2021,U/A 16+,10,,,movie
